Date,7277.KL,7293.KL,5279.KL,3042.KL,4324.KL
2020-01-02,3.4800000190734863,6.480000019073486,2.3299999237060547,5.070000171661377,4.210000038146973
2020-01-03,3.490000009536743,6.449999809265137,2.4200000762939453,5.090000152587891,4.190000057220459
2020-01-06,3.4800000190734863,6.380000114440918,2.4000000953674316,5.170000076293945,4.289999961853027
2020-01-07,3.5199999809265137,6.360000133514404,2.390000104904175,5.170000076293945,4.230000019073486
2020-01-08,3.4700000286102295,6.300000190734863,2.2799999713897705,5.110000133514404,4.179999828338623
2020-01-09,3.4600000381469727,6.260000228881836,2.2699999809265137,5.090000152587891,4.150000095367432
2020-01-10,3.440000057220459,6.21999979019165,2.2799999713897705,5.079999923706055,4.139999866485596
2020-01-13,3.440000057220459,6.21999979019165,2.2899999618530273,5.050000190734863,4.159999847412109
2020-01-14,3.440000057220459,6.239999771118164,2.2699999809265137,5.050000190734863,4.130000114440918
2020-01-15,3.390000104904175,6.230000019073486,2.299999952316284,5.050000190734863,4.110000133514404
2020-01-16,3.4200000762939453,6.25,2.2799999713897705,5.059999942779541,4.070000171661377
2020-01-17,3.390000104904175,6.25,2.2899999618530273,5.059999942779541,4.039999961853027
2020-01-20,3.390000104904175,6.199999809265137,2.3499999046325684,5.070000171661377,4.010000228881836
2020-01-21,3.4000000953674316,6.25,2.2899999618530273,5.050000190734863,4.019999980926514
2020-01-22,3.380000114440918,6.230000019073486,2.2899999618530273,5.050000190734863,3.950000047683716
2020-01-23,3.3399999141693115,6.230000019073486,2.3299999237060547,5.070000171661377,3.880000114440918
2020-01-24,3.2899999618530273,6.199999809265137,2.319999933242798,5.059999942779541,3.799999952316284
2020-01-28,3.2300000190734863,6.21999979019165,2.259999990463257,4.909999847412109,3.680000066757202
2020-01-29,3.2699999809265137,6.199999809265137,2.2799999713897705,4.949999809265137,3.700000047683716
2020-01-30,3.259999990463257,6.199999809265137,2.2699999809265137,4.96999979019165,3.6700000762939453
2020-01-31,3.2699999809265137,6.199999809265137,2.25,4.809999942779541,3.569999933242798
2020-02-03,3.25,6.199999809265137,2.180000066757202,4.659999847412109,3.4200000762939453
2020-02-04,3.309999942779541,6.269999980926514,2.2200000286102295,4.659999847412109,3.440000057220459
2020-02-05,3.4000000953674316,6.380000114440918,2.309999942779541,4.619999885559082,3.4200000762939453
2020-02-06,3.440000057220459,6.320000171661377,2.319999933242798,4.739999771118164,3.4600000381469727
2020-02-07,3.4200000762939453,6.349999904632568,2.319999933242798,4.699999809265137,3.4600000381469727
2020-02-10,3.359999895095825,6.380000114440918,2.299999952316284,4.679999828338623,3.390000104904175
2020-02-11,3.359999895095825,6.380000114440918,2.319999933242798,4.710000038146973,3.390000104904175
2020-02-12,3.4000000953674316,6.409999847412109,2.359999895095825,4.679999828338623,3.390000104904175
2020-02-13,3.390000104904175,6.800000190734863,2.430000066757202,4.699999809265137,3.380000114440918
2020-02-14,3.450000047683716,7.0,2.430000066757202,4.840000152587891,3.880000114440918
2020-02-17,3.380000114440918,7.090000152587891,2.4000000953674316,5.099999904632568,4.389999866485596
2020-02-18,3.3499999046325684,7.0,2.4000000953674316,5.019999980926514,4.019999980926514
2020-02-19,3.380000114440918,7.0,2.430000066757202,5.019999980926514,4.090000152587891
2020-02-20,3.4100000858306885,7.239999771118164,2.430000066757202,5.010000228881836,3.950000047683716
2020-02-21,3.380000114440918,7.110000133514404,2.430000066757202,5.019999980926514,4.090000152587891
2020-02-24,3.319999933242798,7.039999961853027,2.359999895095825,4.809999942779541,3.9000000953674316
2020-02-25,3.3499999046325684,7.099999904632568,2.3499999046325684,4.940000057220459,3.8299999237060547
2020-02-26,3.359999895095825,7.099999904632568,2.3399999141693115,4.900000095367432,3.809999942779541
2020-02-27,3.390000104904175,7.119999885559082,2.319999933242798,4.800000190734863,3.75
2020-02-28,3.3399999141693115,7.150000095367432,2.200000047683716,4.590000152587891,3.5899999141693115
2020-03-02,3.2899999618530273,6.949999809265137,2.1700000762939453,4.420000076293945,3.559999942779541
2020-03-03,3.319999933242798,7.059999942779541,2.2200000286102295,4.46999979019165,3.559999942779541
2020-03-04,3.3399999141693115,7.03000020980835,2.200000047683716,4.420000076293945,3.559999942779541
2020-03-05,3.3399999141693115,7.019999980926514,2.25,4.420000076293945,3.609999895095825
2020-03-06,3.2899999618530273,7.010000228881836,2.2699999809265137,4.190000057220459,3.450000047683716
2020-03-09,3.0299999713897705,6.0,1.850000023841858,3.700000047683716,2.940000057220459
2020-03-10,3.0799999237060547,6.300000190734863,1.850000023841858,3.700000047683716,3.2699999809265137
2020-03-11,3.25,6.460000038146973,1.9299999475479126,3.759999990463257,3.2100000381469727
2020-03-12,3.25,6.199999809265137,1.8300000429153442,3.5,2.990000009536743
2020-03-13,3.200000047683716,6.199999809265137,1.7200000286102295,3.5,2.990000009536743
2020-03-16,2.799999952316284,5.329999923706055,1.5,3.0,2.75
2020-03-17,2.9100000858306885,5.309999942779541,1.399999976158142,2.880000114440918,2.6500000953674316
2020-03-18,2.9800000190734863,5.0,1.409999966621399,2.7200000286102295,2.549999952316284
2020-03-19,2.9000000953674316,4.510000228881836,1.1299999952316284,2.5,2.3399999141693115
2020-03-20,3.0299999713897705,4.610000133514404,1.2999999523162842,2.690000057220459,2.4800000190734863
2020-03-23,2.859999895095825,4.579999923706055,1.149999976158142,2.680000066757202,2.2899999618530273
2020-03-24,2.930000066757202,4.820000171661377,1.2599999904632568,2.799999952316284,2.359999895095825
