Date,Daily Cases,TOPGLOV,IHH,HARTA,DPHARMA,SUPERMX
2020-01-02,0,1.549999952,5.570000172,5.349999905,1.460000038,0.675000012
2020-01-03,0,1.556666017,5.619999886,5.400000095,1.480000019,0.67010802
2020-01-06,0,1.553333044,5.550000191,5.349999905,1.470000029,0.675000012
2020-01-07,0,1.549999952,5.599999905,5.480000019,1.580000043,0.67010802
2020-01-08,0,1.536666036,5.550000191,5.400000095,1.539999962,0.655434012
2020-01-09,0,1.526666045,5.599999905,5.429999828,1.610000014,0.660326004
2020-01-10,0,1.539999962,5.599999905,5.429999828,1.610000014,0.650542974
2020-01-13,0,1.546666026,5.539999962,5.440000057,1.620000005,0.640761018
2020-01-14,0,1.553333044,5.570000172,5.460000038,1.690000057,0.635869026
2020-01-15,0,1.600000024,5.550000191,5.480000019,1.669999957,0.650542974
2020-01-16,0,1.570000052,5.579999924,5.480000019,1.669999957,0.635869026
2020-01-17,0,1.586665988,5.630000114,5.5,1.629999995,0.635869026
2020-01-20,0,1.606665969,5.679999828,5.550000191,1.600000024,0.640761018
2020-01-21,0,1.70333302,5.730000019,5.800000191,1.679999948,0.709239006
2020-01-22,0,1.809999943,5.860000134,6.050000191,1.649999976,0.75326103
2020-01-23,0,1.786666036,5.820000172,5.889999866,1.669999957,0.743478
2020-01-24,0,1.846665978,5.789999962,6.03000021,1.690000057,0.787500024
2020-01-28,0,2,5.889999866,6.25,1.690000057,0.909781992
2020-01-29,3,1.946666002,5.800000191,6.039999962,1.700000048,0.87065202
2020-01-30,1,1.963333011,5.800000191,5.949999809,1.649999976,0.890217006
2020-01-31,0,1.950000048,5.699999809,5.920000076,1.590000033,0.87065202
2020-02-03,0,1.926666021,5.650000095,5.800000191,1.559999943,0.846194983
2020-02-04,2,1.899999976,5.71999979,5.789999962,1.570000052,0.81684798
2020-02-05,2,1.883332968,5.730000019,5.730000019,1.580000043,0.841304004
2020-02-06,0,1.873332977,5.769999981,5.800000191,1.620000005,0.802173972
2020-02-07,0,1.886666059,5.78000021,5.800000191,1.610000014,0.821739018
2020-02-10,2,1.913333058,5.769999981,5.929999828,1.580000043,0.841304004
2020-02-11,0,1.90666604,5.699999809,6,1.610000014,0.831520975
2020-02-12,0,1.950000048,5.739999771,6.119999886,1.620000005,0.841304004
2020-02-13,1,1.95333302,5.789999962,6.110000134,1.639999986,0.836413026
2020-02-14,0,1.950000048,5.809999943,6.170000076,1.639999986,0.831520975
2020-02-17,0,1.893332958,5.820000172,6.099999905,1.600000024,0.802173972
2020-02-18,0,1.883332968,5.820000172,6.110000134,1.600000024,0.80706501
2020-02-19,0,1.809999943,5.820000172,5.920000076,1.620000005,0.782607973
2020-02-20,0,1.766666055,5.809999943,5.889999866,1.620000005,0.767934024
2020-02-21,0,1.763332963,5.739999771,5.880000114,1.629999995,0.777716994
2020-02-24,0,1.813333035,5.599999905,5.909999847,1.590000033,0.772826016
2020-02-25,0,1.873332977,5.690000057,6.050000191,1.590000033,0.80706501
2020-02-26,0,1.893332958,5.659999847,6.059999943,1.600000024,0.831520975
2020-02-27,1,1.89666605,5.679999828,6.050000191,1.580000043,0.797281981
2020-02-28,0,1.879999995,5.699999809,6.199999809,1.519999981,0.777716994
